SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),10 Riverside Ave,Lyndhurst,NJ,07071,877777,6,5.0,Lyndhurst,,10846,,8,,,Active,,,https://www.redfin.com/NJ/Lyndhurst/10-Riverside-Ave-07071/home/35903686,NJMLS,22014397,N,Y,40.8216825,-74.1234225
MLS Listing,,Single Family Residential,9 Rutgers St,Closter,NJ,07624,1895000,6,5.5,Closter,,16988,,8,,,Active,,,https://www.redfin.com/NJ/Closter/9-Rutgers-St-07624/home/35694213,NJMLS,22014396,N,Y,40.9807209,-73.942641
MLS Listing,,Single Family Residential,31 Mahan St,Tenafly,NJ,07670,750000,4,3.5,Tenafly,,6700,,8,,,Active,,,https://www.redfin.com/NJ/Tenafly/31-Mahan-St-07670/home/145417966,NJMLS,22014393,N,Y,40.9312879,-73.9620669
MLS Listing,,Condo/Co-op,9 Somerset Ln Unit 403-404,Edgewater,NJ,07020,1698888,4,3.0,Edgewater,,,,8,,,Active,,,https://www.redfin.com/NJ/Edgewater/9-Somerset-Ln-07020/unit-403-404/home/179225197,NJMLS,22014390,N,Y,40.8030687,-73.9911523
MLS Listing,,Single Family Residential,161 Twinbrook Ct,Ramsey,NJ,07446,749000,4,2.5,Ramsey,,24002,,8,,,Active,,,https://www.redfin.com/NJ/Ramsey/161-Twinbrook-Ct-07446/home/35829212,NJMLS,22014386,N,Y,41.048592,-74.146957
MLS Listing,,Single Family Residential,179 Orchard Pl,Ridgewood,NJ,07450,1249000,4,3.5,Ridgewood,,15812,,8,,,Active,,,https://www.redfin.com/NJ/Ridgewood/179-Orchard-Pl-07450/home/35841380,NJMLS,22014385,N,Y,40.9742738,-74.129662
MLS Listing,,Single Family Residential,629 Knollwood Rd,Franklin Lakes,NJ,07417,899000,5,3.0,Franklin Lakes,,40075,,8,,,Active,May-7-2022 01:00 PM,May-7-2022 03:00 PM,https://www.redfin.com/NJ/Franklin-Lakes/629-Knollwood-Rd-07417/home/35740190,NJMLS,22014384,N,Y,41.0104567,-74.210435
MLS Listing,,Single Family Residential,32 W Maple Ave,Allendale Boro,NJ,07401-1205,759000,4,2.5,Allendale Boro,,12632,1968,8,,,Active,,,https://www.redfin.com/NJ/Allendale/32-W-Maple-Ave-07401/home/35674620,GSMLS,3777993,N,Y,41.0322106,-74.1374381
MLS Listing,,Single Family Residential,133 Ivanhoe Dr,Paramus,NJ,07652,1649000,6,5.0,Paramus,,10128,,8,,,Active,,,https://www.redfin.com/NJ/Paramus/133-Ivanhoe-Dr-07652/home/35822099,NJMLS,22014371,N,Y,40.950478,-74.0602396
MLS Listing,,Single Family Residential,119 Valley Rd,Allendale,NJ,07401,1699000,5,4.5,Allendale,,69696,,8,,,Active,,,https://www.redfin.com/NJ/Allendale/119-Valley-Rd-07401/home/35897262,NJMLS,22014370,N,Y,41.0319131,-74.1467965
MLS Listing,,Single Family Residential,9 Colonial Dr,Allendale,NJ,07401,1099000,4,4.5,Allendale,,32496,,8,,,Active,,,https://www.redfin.com/NJ/Allendale/9-Colonial-Dr-07401/home/35674204,NJMLS,22014369,N,Y,41.0340914,-74.1475305
MLS Listing,,Single Family Residential,11-03 Upton Pl,Fair Lawn,NJ,07410,579000,4,2.5,Fair Lawn,,5201,,8,,,Active,,,https://www.redfin.com/NJ/Fair-Lawn/11-03-Upton-Pl-07410/home/35724536,NJMLS,22014365,N,Y,40.9385007,-74.1013877
MLS Listing,,Single Family Residential,667 Rutgers Pl,Paramus,NJ,07652,949000,4,3.5,Paramus,,13125,,8,,,Active,May-8-2022 01:00 PM,May-8-2022 03:00 PM,https://www.redfin.com/NJ/Paramus/667-Rutgers-Pl-07652/home/35824173,NJMLS,22014361,N,Y,40.9650297,-74.0630358
