,prices,address,beds,home_type,borough,zip_code,baths,sqft
122,"$575,000",121 Summit Ave,3.0, House for sale, Lyndhurst, NJ 07071,3.0,1664.0
123,"$530,000",130 Macarthur Dr,3.0,- sqft- Coming soon, Saddle Brook Twp., NJ 07663-4720,2.0,
124,"$639,000",110 Oneida Ave,4.0,- sqft- House for sale, Dumont, NJ 07628,3.0,
125,"$475,000",1203 River Rd APT 3H,2.0,- sqft- Condo for sale, Edgewater, NJ 07020,2.0,
126,"$239,900",233 Midland Ave UNIT 106,2.0, Townhouse for sale, Garfield City, NJ 07026-1737,2.0,1092.0
127,"$485,000",251 Spring Valley Ave,3.0,- sqft- House for sale, Hackensack, NJ 07601,1.0,
128,"$479,000",123 E Church St,3.0,- sqft- House for sale, Bergenfield, NJ 07621,2.0,
129,"$349,900",73 Broadway,2.0,- sqft- House for sale, Hackensack, NJ 07601,2.0,
130,"$1,199,000",22 Iron Latch West,5.0,- sqft- House for sale, Upper Saddle River, NJ 07458,4.0,
131,"$2,399,000",28 Farview Rd,6.0,- sqft- House for sale, Tenafly, NJ 07670,4.0,
132,"$279,000",384 Cambridge Dr,1.0,- sqft- Condo for sale, Ramsey Boro, NJ 07446-1233,1.0,
